code,descr,lang_code,is_active,cr_by,cr_dtimes
NewReg-email-subject-template,Modèle pour nouvelle inscription Objet de le-mail,fra,true,superadmin,now()
NewReg-sms-template,قالب لرسالة التسجيل الجديدة,ara,true,superadmin,now()
NewReg-sms-template,Template for new registration SMS,eng,true,superadmin,now()
NewReg-sms-template,Modèle de nouvelle inscription SMS,fra,true,superadmin,now()
Onscreen-Acknowledgement,قالب للشاشة شكر وتقدير,ara,true,superadmin,now()
Onscreen-Acknowledgement,Template for Onscreen Acknowledgment,eng,true,superadmin,now()
Onscreen-Acknowledgement,On-screen recognition template,fra,true,superadmin,now()
otp-email-content-template,قالب لمحتوى البريد الإلكتروني OTP,ara,true,superadmin,now()
otp-email-content-template,Template for OTP Email Content,eng,true,superadmin,now()
otp-email-content-template,OTP Email Content Template,fra,true,superadmin,now()
OTP-email-content-template,قالب لتوليد OTP محتوى البريد الإلكتروني,ara,true,superadmin,now()
OTP-email-content-template,Template for OTP generation Email Content,eng,true,superadmin,now()
OTP-email-content-template,Modèle de contenu de courrier électronique de génération dOTP,fra,true,superadmin,now()
otp-email-subject-template,قالب لموضوع البريد الإلكتروني OTP,ara,true,superadmin,now()
otp-email-subject-template,Template for OTP Email Subject,eng,true,superadmin,now()
otp-email-subject-template,Template for OTP email subject,fra,true,superadmin,now()
OTP-email-subject-template,قالب لتوليد OTP البريد الإلكتروني الموضوع,ara,true,superadmin,now()
OTP-email-subject-template,Template for OTP generation Email Subject,eng,true,superadmin,now()
OTP-email-subject-template,Modèle pour le sujet de-mail de génération dOTP,fra,true,superadmin,now()
otp-sms-template,قالب ل OTP SMS,ara,true,superadmin,now()
otp-sms-template,Template for OTP SMS,eng,true,superadmin,now()
otp-sms-template,Template for OTP SMS,fra,true,superadmin,now()
OTP-sms-template,قالب لرسالة OTP,ara,true,superadmin,now()
OTP-sms-template,Template for OTP SMS,eng,true,superadmin,now()
OTP-sms-template,Modèle pour SMS OTP,fra,true,superadmin,now()
reg-ack-template-part1,نموذج شكر التسجيل,ara,true,superadmin,now()
reg-ack-template-part1,Registration Acknowledgement Template - Part 1,eng,true,superadmin,now()
reg-ack-template-part1,accusé de réception,fra,true,superadmin,now()
reg-ack-template-part2,نموذج شكر التسجيل,ara,true,superadmin,now()
reg-ack-template-part2,Registration Acknowledgement Template - Part 2,eng,true,superadmin,now()
reg-ack-template-part2,accusé de réception,fra,true,superadmin,now()
reg-ack-template-part3,نموذج شكر التسجيل,ara,true,superadmin,now()
reg-ack-template-part3,Registration Acknowledgement Template - Part 3,eng,true,superadmin,now()
reg-ack-template-part3,accusé de réception,fra,true,superadmin,now()
reg-ack-template-part4,نموذج شكر التسجيل,ara,true,superadmin,now()
reg-ack-template-part4,Registration Acknowledgement Template - Part 4,eng,true,superadmin,now()
reg-ack-template-part4,accusé de réception,fra,true,superadmin,now()
reg-email-notification,نموذج شكر التسجيل,ara,true,superadmin,now()
reg-email-notification,Registration Acknowledgement Template,eng,true,superadmin,now()
reg-email-notification,accusé de réception,fra,true,superadmin,now()
reg-preview-template-part1,Registration Preview Template,eng,true,superadmin,now()
reg-preview-template-part1,Registration Preview Template,fra,true,superadmin,now()
reg-preview-template-part2,Registration Preview Template,eng,true,superadmin,now()
reg-preview-template-part2,Registration Preview Template,fra,true,superadmin,now()
reg-preview-template-part3,Registration Preview Template,eng,true,superadmin,now()
reg-preview-template-part3,Registration Preview Template,fra,true,superadmin,now()
reg-preview-template-part4,Registration Preview Template,eng,true,superadmin,now()
reg-preview-template-part4,Registration Preview Template,fra,true,superadmin,now()
reg-sms-notification,نموذج شكر التسجيل,ara,true,superadmin,now()
reg-sms-notification,Registration Acknowledgement Template,eng,true,superadmin,now()
reg-sms-notification,accusé de réception,fra,true,superadmin,now()
RPR_APV_SUC_EMAIL,Activate Packet Validation Success Email,ara,true,superadmin,now()
RPR_APV_SUC_EMAIL,Activate Packet Validation Success Email,eng,true,superadmin,now()
RPR_APV_SUC_EMAIL,Activate Packet Validation Success Email,fra,true,superadmin,now()
RPR_APV_SUC_EMAIL_SUB,Activate Packet Validation Success Email Sub,ara,true,superadmin,now()
RPR_APV_SUC_EMAIL_SUB,Activate Packet Validation Success Email Sub,eng,true,superadmin,now()
RPR_APV_SUC_EMAIL_SUB,Activate Packet Validation Success Email Sub,fra,true,superadmin,now()
RPR_APV_SUC_SMS,Activate Packet Validation Success SMS,ara,true,superadmin,now()
RPR_APV_SUC_SMS,Activate Packet Validation Success SMS,eng,true,superadmin,now()
RPR_APV_SUC_SMS,Activate Packet Validation Success SMS,fra,true,superadmin,now()
RPR_DPV_SUC_EMAIL,De-activate Packet Validation Success Email,ara,true,superadmin,now()
RPR_DPV_SUC_EMAIL,De-activate Packet Validation Success Email,eng,true,superadmin,now()
RPR_DPV_SUC_EMAIL,De-activate Packet Validation Success Email,fra,true,superadmin,now()
RPR_DPV_SUC_EMAIL_SUB,De-activate Packet Validation Success Email Sub,ara,true,superadmin,now()
RPR_DPV_SUC_EMAIL_SUB,De-activate Packet Validation Success Email Sub,eng,true,superadmin,now()
RPR_DPV_SUC_EMAIL_SUB,De-activate Packet Validation Success Email Sub,fra,true,superadmin,now()
RPR_DPV_SUC_SMS,De-activate Packet Validation Success SMS,ara,true,superadmin,now()
RPR_DPV_SUC_SMS,De-activate Packet Validation Success SMS,eng,true,superadmin,now()
RPR_DPV_SUC_SMS,De-activate Packet Validation Success SMS,fra,true,superadmin,now()
RPR_DUP_UIN_EMAIL,قالب لبريد إلكتروني مكرر الهوية,ara,true,superadmin,now()
RPR_DUP_UIN_EMAIL,Template for duplicate UIN Email,eng,true,superadmin,now()
RPR_DUP_UIN_EMAIL,Modèle de courrier didentité en double,fra,true,superadmin,now()
RPR_DUP_UIN_SMS,قالب لرسالة الهوية المكررة,ara,true,superadmin,now()
RPR_DUP_UIN_SMS,Template for duplicate UIN SMS,eng,true,superadmin,now()
RPR_DUP_UIN_SMS,Modèle de message didentité en double,fra,true,superadmin,now()
RPR_LOST_UIN_EMAIL,فقدت البريد الإلكتروني الإخطار UIN,ara,true,superadmin,now()
RPR_LOST_UIN_EMAIL,Lost UIN Notification Email,eng,true,superadmin,now()
RPR_LOST_UIN_EMAIL,Email de notification UIN perdu,fra,true,superadmin,now()
RPR_LOST_UIN_SMS,فقدت رسالة إعلام UIN,ara,true,superadmin,now()
RPR_LOST_UIN_SMS,Lost UIN Notification SMS,eng,true,superadmin,now()
RPR_LOST_UIN_SMS,SMS de notification UIN perdu,fra,true,superadmin,now()
RPR_LPV_SUC_EMAIL,Lost Packet Validation Success Email,ara,true,superadmin,now()
RPR_LPV_SUC_EMAIL,Lost Packet Validation Success Email,eng,true,superadmin,now()
RPR_LPV_SUC_EMAIL,Lost Packet Validation Success Email,fra,true,superadmin,now()
RPR_LPV_SUC_EMAIL_SUB,Lost Packet Validation Success Email Sub,ara,true,superadmin,now()
RPR_LPV_SUC_EMAIL_SUB,Lost Packet Validation Success Email Sub,eng,true,superadmin,now()
RPR_LPV_SUC_EMAIL_SUB,Lost Packet Validation Success Email Sub,fra,true,superadmin,now()
RPR_LPV_SUC_SMS,Lost Packet Validation Success SMS,ara,true,superadmin,now()
RPR_LPV_SUC_SMS,Lost Packet Validation Success SMS,eng,true,superadmin,now()
RPR_LPV_SUC_SMS,Lost Packet Validation Success SMS,fra,true,superadmin,now()
RPR_MASKED_UIN_CARD_TEMPLATE,قالب بطاقة UIN Masked,ara,true,superadmin,now()
RPR_MASKED_UIN_CARD_TEMPLATE,Masked UIN card template,eng,true,superadmin,now()
RPR_MASKED_UIN_CARD_TEMPLATE,Modèle de carte Masked UIN,fra,true,superadmin,now()
RPR_PPV_SUC_EMAIL,Re-print Packet Validation Success Email,ara,true,superadmin,now()
RPR_PPV_SUC_EMAIL,Re-print Packet Validation Success Email,eng,true,superadmin,now()
RPR_PPV_SUC_EMAIL,Re-print Packet Validation Success Email,fra,true,superadmin,now()
RPR_PPV_SUC_EMAIL_SUB,Re-print Packet Validation Success Email Sub,ara,true,superadmin,now()
RPR_PPV_SUC_EMAIL_SUB,Re-print Packet Validation Success Email Sub,eng,true,superadmin,now()
RPR_PPV_SUC_EMAIL_SUB,Re-print Packet Validation Success Email Sub,fra,true,superadmin,now()
RPR_PPV_SUC_SMS,Re-print Packet Validation Success SMS,ara,true,superadmin,now()
RPR_PPV_SUC_SMS,Re-print Packet Validation Success SMS,eng,true,superadmin,now()
RPR_PPV_SUC_SMS,Re-print Packet Validation Success SMS,fra,true,superadmin,now()
RPR_RPV_SUC_EMAIL,Registration Packet Validation Success Email,ara,true,superadmin,now()
RPR_RPV_SUC_EMAIL,Registration Packet Validation Success Email,eng,true,superadmin,now()
RPR_RPV_SUC_EMAIL,Registration Packet Validation Success Email,fra,true,superadmin,now()
RPR_RPV_SUC_EMAIL_SUB,Registration Packet Validation Success Email Sub,ara,true,superadmin,now()
RPR_RPV_SUC_EMAIL_SUB,Registration Packet Validation Success Email Sub,eng,true,superadmin,now()
RPR_RPV_SUC_EMAIL_SUB,Registration Packet Validation Success Email Sub,fra,true,superadmin,now()
RPR_RPV_SUC_SMS,Registration Packet Validation Success SMS,ara,true,superadmin,now()
RPR_RPV_SUC_SMS,Registration Packet Validation Success SMS,eng,true,superadmin,now()
RPR_RPV_SUC_SMS,Registration Packet Validation Success SMS,fra,true,superadmin,now()
RPR_RUPV_SUC_EMAIL,Resident Update Packet Validation Success Email,ara,true,superadmin,now()
RPR_RUPV_SUC_EMAIL,Resident Update Packet Validation Success Email,eng,true,superadmin,now()
RPR_RUPV_SUC_EMAIL,Resident Update Packet Validation Success Email,fra,true,superadmin,now()
RPR_RUPV_SUC_EMAIL_SUB,Resident Update Packet Validation Success Email Sub,ara,true,superadmin,now()
RPR_RUPV_SUC_EMAIL_SUB,Resident Update Packet Validation Success Email Sub,eng,true,superadmin,now()
RPR_RUPV_SUC_EMAIL_SUB,Resident Update Packet Validation Success Email Sub,fra,true,superadmin,now()
RPR_RUPV_SUC_SMS,Resident Update Packet Validation Success SMS,ara,true,superadmin,now()
RPR_RUPV_SUC_SMS,Resident Update Packet Validation Success SMS,eng,true,superadmin,now()
RPR_RUPV_SUC_SMS,Resident Update Packet Validation Success SMS,fra,true,superadmin,now()
RPR_TEC_ISSUE_EMAIL,نموذج للبريد الإلكتروني لمشكلة فنية,ara,true,superadmin,now()
RPR_TEC_ISSUE_EMAIL,Template for Technical Issue Email,eng,true,superadmin,now()
RPR_TEC_ISSUE_EMAIL,Modèle pour courrier électronique de problème technique,fra,true,superadmin,now()
RPR_TEC_ISSUE_SMS,قالب لرسالة المشكلة الفنية,ara,true,superadmin,now()
RPR_TEC_ISSUE_SMS,Template for Technical Issue SMS,eng,true,superadmin,now()
RPR_TEC_ISSUE_SMS,Modèle de message de problème technique,fra,true,superadmin,now()
RPR_UIN_CARD_TEMPLATE,قالب بطاقة UIN,ara,true,superadmin,now()
RPR_UIN_CARD_TEMPLATE,UIN card template,eng,true,superadmin,now()
RPR_UIN_CARD_TEMPLATE,Modèle de carte UIN,fra,true,superadmin,now()
RPR_UIN_DEAC_EMAIL,قالب لإلغاء تنشيط البريد,ara,true,superadmin,now()
RPR_UIN_DEAC_EMAIL,Template for UIN Deactivation Email,eng,true,superadmin,now()
RPR_UIN_DEAC_EMAIL,Modèle pour Email de désactivation UIN,fra,true,superadmin,now()
RPR_UIN_DEAC_SMS,قالب لتعطيل UIN SMS,ara,true,superadmin,now()
RPR_UIN_DEAC_SMS,Template for UIN Deactivation SMS,eng,true,superadmin,now()
RPR_UIN_DEAC_SMS,Modèle pour SMS de désactivation UIN,fra,true,superadmin,now()
RPR_UIN_GEN_EMAIL,قالب لتوليد الهوية البريد الإلكتروني,ara,true,superadmin,now()
RPR_UIN_GEN_EMAIL,Template for UIN generation Email,eng,true,superadmin,now()
RPR_UIN_GEN_EMAIL,Modèle de courrier électronique de génération didentité,fra,true,superadmin,now()
RPR_UIN_GEN_SMS,قالب لرسالة توليد الهوية,ara,true,superadmin,now()
RPR_UIN_GEN_SMS,Template for UIN generation SMS,eng,true,superadmin,now()
RPR_UIN_GEN_SMS,Modèle de message de génération didentité,fra,true,superadmin,now()
RPR_UIN_REAC_EMAIL,قالب لـ UIN تنشيط البريد,ara,true,superadmin,now()
RPR_UIN_REAC_EMAIL,Template for UIN Reactivate Email,eng,true,superadmin,now()
RPR_UIN_REAC_EMAIL,Modèle pour UIN Réactiver Email,fra,true,superadmin,now()
RPR_UIN_REAC_SMS,قالب لـ UIN تنشيط SMS,ara,true,superadmin,now()
RPR_UIN_REAC_SMS,Template for UIN Reactivate SMS,eng,true,superadmin,now()
RPR_UIN_REAC_SMS,Modèle pour UIN Réactiver SMS,fra,true,superadmin,now()
RPR_UIN_UPD_EMAIL,قالب للحصول على تفاصيل التحديث,ara,true,superadmin,now()
RPR_UIN_UPD_EMAIL,Template for update details Email,eng,true,superadmin,now()
RPR_UIN_UPD_EMAIL,Modèle pour les détails de la mise à jour Email,fra,true,superadmin,now()
RPR_UIN_UPD_SMS,قالب لتحديث تفاصيل الرسالة,ara,true,superadmin,now()
RPR_UIN_UPD_SMS,Template for update Details SMS,eng,true,superadmin,now()
RPR_UIN_UPD_SMS,Modèle pour la mise à jour Détails Message,fra,true,superadmin,now()
RPR_UPV_SUC_EMAIL,Update Packet Validation Success Email,ara,true,superadmin,now()
RPR_UPV_SUC_EMAIL,Update Packet Validation Success Email,eng,true,superadmin,now()
RPR_UPV_SUC_EMAIL,Update Packet Validation Success Email,fra,true,superadmin,now()
RPR_UPV_SUC_EMAIL_SUB,Update Packet Validation Success Email Sub,ara,true,superadmin,now()
RPR_UPV_SUC_EMAIL_SUB,Update Packet Validation Success Email Sub,eng,true,superadmin,now()
RPR_UPV_SUC_EMAIL_SUB,Update Packet Validation Success Email Sub,fra,true,superadmin,now()
RPR_UPV_SUC_SMS,Update Packet Validation Success SMS,ara,true,superadmin,now()
RPR_UPV_SUC_SMS,Update Packet Validation Success SMS,eng,true,superadmin,now()
RPR_UPV_SUC_SMS,Update Packet Validation Success SMS,fra,true,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL,فشل طلب سجل المصادقة,ara,true,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL,Authentication History Request Failure Email,eng,true,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL,E-mail d'échec de la demande d'historique d'authentification,fra,true,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL_SUB,فشل طلب سجل المصادقة,ara,true,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL_SUB,Authentication History Request Failure Email Subject,eng,true,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL_SUB,Objet de l'e-mail d'échec de la demande d'historique d'authentification,fra,true,superadmin,now()
RS_AUTH_HIST_FAILURE_SMS,فشل طلب سجل المصادقة,ara,true,superadmin,now()
RS_AUTH_HIST_FAILURE_SMS,Authentication History Request Failure SMS,eng,true,superadmin,now()
RS_AUTH_HIST_FAILURE_SMS,SMS d'échec de la demande d'historique d'authentification,fra,true,superadmin,now()
RS_AUTH_HIST_SUCCESS_EMAIL,تاريخ طلب المصادقة,ara,true,superadmin,now()
RS_AUTH_HIST_SUCCESS_EMAIL,Authentication History Request Success Email,eng,true,superadmin,now()
RS_AUTH_HIST_SUCCESS_EMAIL,E-mail de réussite de la demande d'historique d'authentification,fra,true,superadmin,now()
RS_AUTH_HIST_SUCCESS_EMAIL_SUB,طلب سجل المصادقة النجاح عنوان البريد الإلكتروني,ara,true,superadmin,now()
RS_AUTH_HIST_SUCCESS_EMAIL_SUB,Authentication History Request Success EMAIL Subject,eng,true,superadmin,now()
RS_AUTH_HIST_SUCCESS_EMAIL_SUB,Succès EMAIL de la demande d'historique d'authentification,fra,true,superadmin,now()
RS_AUTH_HIST_SUCCESS_SMS,تاريخ المصادقة طلب النجاح SMS,ara,true,superadmin,now()
RS_AUTH_HIST_SUCCESS_SMS,Authentication History Request Success SMS,eng,true,superadmin,now()
RS_AUTH_HIST_SUCCESS_SMS,Historique de l'authentification des services résidents SMS de transcation,fra,true,superadmin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL,Credential Request Cancel Success EMAIL,ara,true,superadmin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL,Credential Request Cancel Success EMAIL,eng,true,superadmin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL,Credential Request Cancel Success EMAIL,fra,true,superadmin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL_SUB,Credential Request Cancel Success EMAIL Subject,ara,true,superadmin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL_SUB,Credential Request Cancel Success EMAIL Subject,eng,true,superadmin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL_SUB,Credential Request Cancel Success EMAIL Subject,fra,true,superadmin,now()
RS_CRE_CANCEL_SUCCESS_SMS,Credential Request Cancel Success SMS,ara,true,superadmin,now()
RS_CRE_CANCEL_SUCCESS_SMS,Credential Request Cancel Success SMS,eng,true,superadmin,now()
RS_CRE_CANCEL_SUCCESS_SMS,Credential Request Cancel Success SMS,fra,true,superadmin,now()
RS_CRE_REQ_FAILURE_EMAIL,Credential Issuance Failure EMAIL,ara,true,superadmin,now()
RS_CRE_REQ_FAILURE_EMAIL,Credential Issuance Failure EMAIL,eng,true,superadmin,now()
RS_CRE_REQ_FAILURE_EMAIL,Credential Issuance Failure EMAIL,fra,true,superadmin,now()
RS_CRE_REQ_FAILURE_EMAIL_SUB,Credential Issuance Failure EMAIL Subject,ara,true,superadmin,now()
RS_CRE_REQ_FAILURE_EMAIL_SUB,Credential Issuance Failure EMAIL Subject,eng,true,superadmin,now()
RS_CRE_REQ_FAILURE_EMAIL_SUB,Credential Issuance Failure EMAIL Subject,fra,true,superadmin,now()
RS_CRE_REQ_FAILURE_SMS,Credential Issuance Failure SMS,ara,true,superadmin,now()
RS_CRE_REQ_FAILURE_SMS,Credential Issuance Failure SMS,eng,true,superadmin,now()
RS_CRE_REQ_FAILURE_SMS,Credential Issuance Failure SMS,fra,true,superadmin,now()
RS_CRE_REQ_SUCCESS_EMAIL,Credential Issuance Success EMAIL,ara,true,superadmin,now()
RS_CRE_REQ_SUCCESS_EMAIL,Credential Issuance Success EMAIL,eng,true,superadmin,now()
RS_CRE_REQ_SUCCESS_EMAIL,Credential Issuance Success EMAIL,fra,true,superadmin,now()
RS_CRE_REQ_SUCCESS_EMAIL_SUB,Credential Issuance Success EMAIL Subject,ara,true,superadmin,now()
RS_CRE_REQ_SUCCESS_EMAIL_SUB,Credential Issuance Success EMAIL Subject,eng,true,superadmin,now()
RS_CRE_REQ_SUCCESS_EMAIL_SUB,Credential Issuance Success EMAIL Subject,fra,true,superadmin,now()
RS_CRE_REQ_SUCCESS_SMS,Credential Issuance Success SMS,ara,true,superadmin,now()
RS_CRE_REQ_SUCCESS_SMS,Credential Issuance Success SMS,eng,true,superadmin,now()
RS_CRE_REQ_SUCCESS_SMS,Credential Issuance Success SMS,fra,true,superadmin,now()
RS_CRE_STATUS_EMAIL,Credential Issuance Status Check EMAIL,ara,true,superadmin,now()
RS_CRE_STATUS_EMAIL,Credential Issuance Status Check EMAIL,eng,true,superadmin,now()
RS_CRE_STATUS_EMAIL,Credential Issuance Status Check EMAIL,fra,true,superadmin,now()
RS_CRE_STATUS_EMAIL_SUB,Credential Issuance Status Check EMAIL Subject,ara,true,superadmin,now()
RS_CRE_STATUS_EMAIL_SUB,Credential Issuance Status Check EMAIL Subject,eng,true,superadmin,now()
RS_CRE_STATUS_EMAIL_SUB,Credential Issuance Status Check EMAIL Subject,fra,true,superadmin,now()
RS_CRE_STATUS_SMS,Credential Issuance Status Check SMS,ara,true,superadmin,now()
RS_CRE_STATUS_SMS,Credential Issuance Status Check SMS,eng,true,superadmin,now()
RS_CRE_STATUS_SMS,Credential Issuance Status Check SMS,fra,true,superadmin,now()
RS_DOW_UIN_FAILURE_EMAIL,تنزيل فشل البريد الإلكتروني,ara,true,superadmin,now()
RS_DOW_UIN_FAILURE_EMAIL,Download e-UIN Failure Email,eng,true,superadmin,now()
RS_DOW_UIN_FAILURE_EMAIL,Télécharger l'e-mail d'échec e-UIN,fra,true,superadmin,now()
RS_DOW_UIN_FAILURE_EMAIL_SUB,قم بتنزيل موضوع فشل البريد الإلكتروني,ara,true,superadmin,now()
RS_DOW_UIN_FAILURE_EMAIL_SUB,Download e-UIN Failure Email Subject,eng,true,superadmin,now()
RS_DOW_UIN_FAILURE_EMAIL_SUB,Télécharger le sujet de l'e-mail d'échec e-UIN,fra,true,superadmin,now()
RS_DOW_UIN_FAILURE_SMS,قم بتنزيل SMS Failure SMS,ara,true,superadmin,now()
RS_DOW_UIN_FAILURE_SMS,Download e-UIN Failure SMS,eng,true,superadmin,now()
RS_DOW_UIN_FAILURE_SMS,Télécharger le SMS d'échec e-UIN,fra,true,superadmin,now()
RS_DOW_UIN_SUCCESS_EMAIL,تنزيل ناجح للبريد الإلكتروني,ara,true,superadmin,now()
RS_DOW_UIN_SUCCESS_EMAIL,Successful Download of e-UIN Email,eng,true,superadmin,now()
RS_DOW_UIN_SUCCESS_EMAIL,Téléchargement réussi du courriel e-UIN,fra,true,superadmin,now()
RS_DOW_UIN_SUCCESS_EMAIL_SUB,تنزيل ناجح لموضوع البريد الإلكتروني UIN,ara,true,superadmin,now()
RS_DOW_UIN_SUCCESS_EMAIL_SUB,Successful Download of e-UIN Email Subject,eng,true,superadmin,now()
RS_DOW_UIN_SUCCESS_EMAIL_SUB,Téléchargement réussi de l'objet de l'e-UIN,fra,true,superadmin,now()
RS_DOW_UIN_SUCCESS_SMS,تنزيل ناجح لرسائل e-UIN SMS,ara,true,superadmin,now()
RS_DOW_UIN_SUCCESS_SMS,Successful Download of e-UIN SMS,eng,true,superadmin,now()
RS_DOW_UIN_SUCCESS_SMS,Téléchargement réussi de l'e-UIN SMS,fra,true,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL,فشل في قفل البريد الإلكتروني لأنواع المصادقة,ara,true,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL,Failure in Locking of Auth Types Email,eng,true,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL,Échec du verrouillage des e-mails des types d'authentification,fra,true,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL_SUB,فشل في قفل أنواع مصادقة البريد الإلكتروني الموضوع,ara,true,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL_SUB,Failure in Locking of Auth Types Email Subject,eng,true,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL_SUB,Échec du verrouillage des types d'authentification Objet de l'e-mail,fra,true,superadmin,now()
RS_LOCK_AUTH_FAILURE_SMS,فشل في قفل أنواع مصادقة الرسائل القصيرة,ara,true,superadmin,now()
RS_LOCK_AUTH_FAILURE_SMS,Failure in Locking of Auth Types SMS,eng,true,superadmin,now()
RS_LOCK_AUTH_FAILURE_SMS,Échec du verrouillage des types d'authentification SMS,fra,true,superadmin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL,قفل ناجح لأنواع مصادقة البريد الإلكتروني,ara,true,superadmin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL,Successful Locking of Auth Types Email,eng,true,superadmin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL,Verrouillage réussi des e-mails des types d'authentification,fra,true,superadmin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL_SUB,قفل ناجح لأنواع مصادقة البريد الإلكتروني الموضوع,ara,true,superadmin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL_SUB,Successful Locking of Auth Types Email Subject,eng,true,superadmin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL_SUB,Succès du verrouillage des types d'authentification,fra,true,superadmin,now()
